

Score : 3

 (Subject#Teacher#Student Group)

Room Number: u1

Time: ,9:00 TO 10:00,10:00 TO 11:00,11:00 TO 12:00,12:00 TO 13:00,13:00 TO 14:00,14:00 TO 15:00,15:00 TO 16:00,
Days
Monday,FREE CLASS,FREE CLASS,FREE CLASS,Lunch,FREE CLASS,FREE CLASS,FREE CLASS,
Tuesday,(Geography#Mr Adams#6A),(chemistry#ms Leister#5A),(Testing#Mr Adams#5A),Lunch,(chemistry#ms Leister#6A),(chemistry#ms Leister#6A),(Geography#Mr Adams#6A),
Wednesday,FREE CLASS,FREE CLASS,FREE CLASS,Lunch,FREE CLASS,FREE CLASS,FREE CLASS,
Thursday,FREE CLASS,FREE CLASS,FREE CLASS,Lunch,FREE CLASS,FREE CLASS,FREE CLASS,
Friday,(Testing#Mr Adams#5A),FREE CLASS,(Geography#Mr Adams#6A),Lunch,(Testing#Mr Adams#6A),(chemistry#ms Leister#5A),FREE CLASS,



Room Number: u2

Time: ,9:00 TO 10:00,10:00 TO 11:00,11:00 TO 12:00,12:00 TO 13:00,13:00 TO 14:00,14:00 TO 15:00,15:00 TO 16:00,
Days
Monday,(chemistry#ms Leister#5A),FREE CLASS,FREE CLASS,Lunch,(Geography#Mr Adams#5A),FREE CLASS,FREE CLASS,
Tuesday,(cecec#Mr Jones#5A),(Testing#Mr Adams#6A),(Geography#Mr Adams#5A),Lunch,(chemistry#ms Leister#6A),(Geography#Mr Adams#5A),(Testing#Mr Adams#5A),
Wednesday,(chemistry#ms Leister#6A),(cecec#Mr Jones#6A),(Testing#Mr Adams#5A),Lunch,(Testing#Mr Adams#6A),(Testing#Mr Adams#6A),(chemistry#ms Leister#5A),
Thursday,FREE CLASS,FREE CLASS,FREE CLASS,Lunch,FREE CLASS,FREE CLASS,FREE CLASS,
Friday,FREE CLASS,FREE CLASS,FREE CLASS,Lunch,FREE CLASS,FREE CLASS,FREE CLASS,



Room Number: u3

Time: ,9:00 TO 10:00,10:00 TO 11:00,11:00 TO 12:00,12:00 TO 13:00,13:00 TO 14:00,14:00 TO 15:00,15:00 TO 16:00,
Days
Monday,FREE CLASS,FREE CLASS,FREE CLASS,Lunch,FREE CLASS,FREE CLASS,FREE CLASS,
Tuesday,FREE CLASS,FREE CLASS,FREE CLASS,Lunch,FREE CLASS,FREE CLASS,FREE CLASS,
Wednesday,FREE CLASS,FREE CLASS,FREE CLASS,Lunch,FREE CLASS,FREE CLASS,FREE CLASS,
Thursday,(History#Mr Adams#5A),(History#Mr Adams#6A),(History#Mr Adams#6A),Lunch,(History#Mr Adams#6A),(English#Mr Joe#5A),(Bio#Mr Murphy#5A),
Friday,(History#Mr Adams#6A),FREE CLASS,FREE CLASS,Lunch,(English#Mr Joe#5A),(History#Mr Adams#5A),FREE CLASS,



Room Number: u4

Time: ,9:00 TO 10:00,10:00 TO 11:00,11:00 TO 12:00,12:00 TO 13:00,13:00 TO 14:00,14:00 TO 15:00,15:00 TO 16:00,
Days
Monday,FREE CLASS,FREE CLASS,FREE CLASS,Lunch,FREE CLASS,FREE CLASS,FREE CLASS,
Tuesday,FREE CLASS,FREE CLASS,FREE CLASS,Lunch,FREE CLASS,FREE CLASS,FREE CLASS,
Wednesday,FREE CLASS,FREE CLASS,FREE CLASS,Lunch,FREE CLASS,FREE CLASS,FREE CLASS,
Thursday,(Bio#Mr Murphy#6A),(History#Mr Adams#6A),(History#Mr Adams#5A),Lunch,(History#Mr Adams#5A),(History#Mr Adams#6A),(English#Mr Joe#6A),
Friday,(English#Mr Joe#6A),(History#Mr Adams#5A),(Bio#Mr Murphy#5A),Lunch,FREE CLASS,(Bio#Mr Murphy#6A),(History#Mr Adams#5A),

