

Score : 7

 (Subject#Teacher#Student Group)

Room Number: u4

Time: ,9:00 TO 10:00,10:00 TO 11:00,11:00 TO 12:00,12:00 TO 13:00,13:00 TO 14:00,14:00 TO 15:00,15:00 TO 16:00,
Days
Monday,FREE CLASS,FREE CLASS,FREE CLASS,Lunch,FREE CLASS,FREE CLASS,FREE CLASS,
Tuesday,(History#Mr Adams#6A),(History#Mr Adams#5A),(English#Mr Joe#6A),Lunch,(History#Mr Adams#5A),(Bio#Mr Murphy#6A),(History#Mr Adams#6A),
Wednesday,(History#Mr Adams#6A),(History#Mr Adams#5A),(English#Mr Joe#6A),Lunch,FREE CLASS,FREE CLASS,FREE CLASS,
Thursday,FREE CLASS,FREE CLASS,FREE CLASS,Lunch,FREE CLASS,FREE CLASS,FREE CLASS,
Friday,FREE CLASS,FREE CLASS,FREE CLASS,Lunch,FREE CLASS,FREE CLASS,FREE CLASS,



Room Number: u3

Time: ,9:00 TO 10:00,10:00 TO 11:00,11:00 TO 12:00,12:00 TO 13:00,13:00 TO 14:00,14:00 TO 15:00,15:00 TO 16:00,
Days
Monday,FREE CLASS,FREE CLASS,FREE CLASS,Lunch,FREE CLASS,FREE CLASS,FREE CLASS,
Tuesday,(History#Mr Adams#6A),(History#Mr Adams#5A),(History#Mr Adams#5A),Lunch,(History#Mr Adams#5A),FREE CLASS,(History#Mr Adams#6A),
Wednesday,FREE CLASS,FREE CLASS,FREE CLASS,Lunch,FREE CLASS,FREE CLASS,FREE CLASS,
Thursday,(Bio#Mr Murphy#6A),(History#Mr Adams#6A),(Bio#Mr Murphy#5A),Lunch,(Bio#Mr Murphy#5A),(English#Mr Joe#5A),(English#Mr Joe#5A),
Friday,FREE CLASS,FREE CLASS,FREE CLASS,Lunch,FREE CLASS,FREE CLASS,FREE CLASS,



Room Number: u1

Time: ,9:00 TO 10:00,10:00 TO 11:00,11:00 TO 12:00,12:00 TO 13:00,13:00 TO 14:00,14:00 TO 15:00,15:00 TO 16:00,
Days
Monday,(Geography#Mr Adams#5A),FREE CLASS,FREE CLASS,Lunch,(chemistry#ms Leister#5A),FREE CLASS,(Testing#Mr Adams#5A),
Tuesday,FREE CLASS,FREE CLASS,FREE CLASS,Lunch,FREE CLASS,FREE CLASS,FREE CLASS,
Wednesday,FREE CLASS,FREE CLASS,FREE CLASS,Lunch,FREE CLASS,FREE CLASS,FREE CLASS,
Thursday,(Testing#Mr Adams#6A),(Geography#Mr Adams#6A),(chemistry#ms Leister#5A),Lunch,(Testing#Mr Adams#6A),(Testing#Mr Adams#5A),(chemistry#ms Leister#5A),
Friday,FREE CLASS,FREE CLASS,FREE CLASS,Lunch,FREE CLASS,FREE CLASS,FREE CLASS,



Room Number: u2

Time: ,9:00 TO 10:00,10:00 TO 11:00,11:00 TO 12:00,12:00 TO 13:00,13:00 TO 14:00,14:00 TO 15:00,15:00 TO 16:00,
Days
Monday,FREE CLASS,FREE CLASS,FREE CLASS,Lunch,FREE CLASS,FREE CLASS,FREE CLASS,
Tuesday,(chemistry#ms Leister#6A),(chemistry#ms Leister#6A),(Geography#Mr Adams#6A),Lunch,(chemistry#ms Leister#6A),(Geography#Mr Adams#5A),(chemistry#ms Leister#5A),
Wednesday,(cecec#Mr Jones#5A),(Testing#Mr Adams#6A),(Testing#Mr Adams#6A),Lunch,(chemistry#ms Leister#6A),(cecec#Mr Jones#6A),(Geography#Mr Adams#6A),
Thursday,(Testing#Mr Adams#5A),(Testing#Mr Adams#5A),FREE CLASS,Lunch,FREE CLASS,FREE CLASS,(Geography#Mr Adams#5A),
Friday,FREE CLASS,FREE CLASS,FREE CLASS,Lunch,FREE CLASS,FREE CLASS,FREE CLASS,

